2.16.578.1.12.4.1.1.9327::D01A::TSB start	Tverrfaglig spesialisert rusbehandling (TSB); Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D01C::TSB beslutning	Tverrfaglig spesialisert rusbehandling (TSB); Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D01CA::TSB beslutning oppfølgning annen	Tverrfaglig spesialisert rusbehandling (TSB); Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D01CI::TSB beslutning ikke behov	Tverrfaglig spesialisert rusbehandling (TSB); Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D01CK::TSB beslutning behandling primær	Tverrfaglig spesialisert rusbehandling (TSB); Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D01CP::TSB beslutning behandling PHV	Tverrfaglig spesialisert rusbehandling (TSB); Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D01CS::TSB beslutning behandling annen	Tverrfaglig spesialisert rusbehandling (TSB); Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D01CT::TSB beslutning behandling TSB	Tverrfaglig spesialisert rusbehandling (TSB); Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D01CU::TSB beslutning utvidet utredning	Tverrfaglig spesialisert rusbehandling (TSB); Klinisk beslutning; Behov for utvidet utredning
2.16.578.1.12.4.1.1.9327::D01D::TSB avrusning	Tverrfaglig spesialisert rusbehandling (TSB); Avrusning døgn avsluttet
2.16.578.1.12.4.1.1.9327::D01E::TSB evaluering	Tverrfaglig spesialisert rusbehandling (TSB); Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D01F::TSB fastlege	Tverrfaglig spesialisert rusbehandling (TSB); Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D01O::TSB overføring	Tverrfaglig spesialisert rusbehandling (TSB); Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D01S::TSB møte	Tverrfaglig spesialisert rusbehandling (TSB); Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D01U::TSB aktivitet	Tverrfaglig spesialisert rusbehandling (TSB); Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D01UB::TSB aktivitet informasjon	Tverrfaglig spesialisert rusbehandling (TSB); Dato for utført aktivitet; Pasienten/pårørende er informert om de ulike behandlingsformer enheten tilbyr for aktuell lidelse
2.16.578.1.12.4.1.1.9327::D01UF::TSB aktivitet feedbackverktøy	Tverrfaglig spesialisert rusbehandling (TSB); Dato for utført aktivitet; Feedbackverktøy
2.16.578.1.12.4.1.1.9327::D01UU::TSB aktivitet involvering	Tverrfaglig spesialisert rusbehandling (TSB); Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D01X::TSB avslutning	Tverrfaglig spesialisert rusbehandling (TSB); Dato for avslutning av pakkeforløp
2.16.578.1.12.4.1.1.9327::D01XA::TSB avslutning avbrudd andre årsaker	Tverrfaglig spesialisert rusbehandling (TSB); Dato for avslutning av pakkeforløp; Avbrudd av andre årsaker
2.16.578.1.12.4.1.1.9327::D01XG::TSB avslutning gjennomført	Tverrfaglig spesialisert rusbehandling (TSB); Dato for avslutning av pakkeforløp; Avslutning av gjennomført pakkeforløp
2.16.578.1.12.4.1.1.9327::D01XP::TSB avslutning avbrudd eget ønske	Tverrfaglig spesialisert rusbehandling (TSB); Dato for avslutning av pakkeforløp; Avbrudd etter pasientens/foresattes eget ønske
2.16.578.1.12.4.1.1.9327::D01XR::TSB avslutning	Tverrfaglig spesialisert rusbehandling (TSB); Dato for avslutning av pakkeforløp; Rett til helsehjelp ikke innvilget
2.16.578.1.12.4.1.1.9327::D02A::Utredning BUP start	Utredning av psykiske lidelser – barn og unge; Pakkeforløp start
2.16.578.1.12.4.1.1.9327::D02C::Utredning BUP beslutning	Utredning av psykiske lidelser – barn og unge; Klinisk beslutning
2.16.578.1.12.4.1.1.9327::D02CA::Utredning BUP beslutning oppfølgning annen	Utredning av psykiske lidelser – barn og unge; Klinisk beslutning; Behov for oppfølging fra andre instanser som NAV, PPT, arbeidsgiver, skole, barnevern mm.
2.16.578.1.12.4.1.1.9327::D02CI::Utredning BUP beslutning ikke behov	Utredning av psykiske lidelser – barn og unge; Klinisk beslutning; Ikke behov for videre behandling og/eller oppfølging
2.16.578.1.12.4.1.1.9327::D02CK::Utredning BUP beslutning behandling primær	Utredning av psykiske lidelser – barn og unge; Klinisk beslutning; Behov for behandling og/eller oppfølging fra fastlege, kommunal helse- og omsorgstjeneste
2.16.578.1.12.4.1.1.9327::D02CP::Utredning BUP beslutning behandling PHV	Utredning av psykiske lidelser – barn og unge; Klinisk beslutning; Behov for behandling innen psykisk helsevern
2.16.578.1.12.4.1.1.9327::D02CS::Utredning BUP beslutning behandling annen	Utredning av psykiske lidelser – barn og unge; Klinisk beslutning; Behov for behandling fra annen spesialisthelsetjeneste (ikke Psykisk helsevern eller TSB)
2.16.578.1.12.4.1.1.9327::D02CT::Utredning BUP beslutning behandling TSB	Utredning av psykiske lidelser – barn og unge; Klinisk beslutning; Behov for behandling innen TSB
2.16.578.1.12.4.1.1.9327::D02CU::Utredning BUP beslutning utvidet utredning	Utredning av psykiske lidelser – barn og unge; Klinisk beslutning; Behov for utvidet utredning
2.16.578.1.12.4.1.1.9327::D02E::Utredning BUP evaluering	Utredning av psykiske lidelser – barn og unge; Evalueringspunkt
2.16.578.1.12.4.1.1.9327::D02F::Utredning BUP fastlege	Utredning av psykiske lidelser – barn og unge; Tilbakemelding til fastlege sendt underveis i pakkeforløpet
2.16.578.1.12.4.1.1.9327::D02O::Utredning BUP overføring	Utredning av psykiske lidelser – barn og unge; Overført til annet helseforetak/ privat behandlingssted
2.16.578.1.12.4.1.1.9327::D02S::Utredning BUP møte	Utredning av psykiske lidelser – barn og unge; Samarbeidsmøte med relevante instanser
2.16.578.1.12.4.1.1.9327::D02SI::Utredning BUP møte	Utredning av psykiske lidelser – barn og unge; Samarbeidsmøte med relevante instanser; Vurdert ikke behov for møte
2.16.578.1.12.4.1.1.9327::D02SM::Utredning BUP møte gjennomført	Utredning av psykiske lidelser – barn og unge; Samarbeidsmøte med relevante instanser; Gjennomført møte
2.16.578.1.12.4.1.1.9327::D02U::Utredning BUP aktivitet	Utredning av psykiske lidelser – barn og unge; Dato for utført aktivitet
2.16.578.1.12.4.1.1.9327::D02UU::Utredning BUP aktivitet involvering	Utredning av psykiske lidelser – barn og unge; Dato for utført aktivitet; Pasienter/ foresatte/pårørende er involvert i utarbeidelse av utredningsplan og/eller behandlingsplan
2.16.578.1.12.4.1.1.9327::D02UV::Utredning BUP aktivitet måling	Utredning av psykiske lidelser – barn og unge; Dato for utført aktivitet; Standardisert verktøy for måling av symptom og/eller funksjon
2.16.578.1.12.4.1.1.9327::D02X::Utredning BUP avslutning	Utredning av psykiske lidelser – barn og unge; Dato for avslutning av pakkeforløp
