ARK-ICD::F700::Lett psykisk utviklingshemming, ingen/minimale atferdsprobl
ARK-ICD::F701::Lett psykisk utviklingshemming, betydelige atferdsproblemer
ARK-ICD::F708::Lett psykisk utviklingshemming, annen angiv av atferdsprobl
ARK-ICD::F709::Lett psykisk utviklingshemming, atferdsproblemer ikke angitt
ARK-ICD::F710::Moderat psykisk utviklingshemming, ingen/minim atferdsprobl
ARK-ICD::F711::Moderat psykisk utviklingshemming, betyd atferdsproblemer
ARK-ICD::F718::Moderat psykisk utviklingshemming, annen angiv atferdsprobl
ARK-ICD::F719::Moderat psykisk utviklingshemming, atferdsprobl ikke angitt
ARK-ICD::F720::Alvorlig psykisk utviklingshemming, ingen/minim atferdsprobl
ARK-ICD::F721::Alvorlig psykisk utviklingshemming, betyd atferdsproblemer
ARK-ICD::F728::Alvorlig psykisk utviklingshemming, annen angiv atferdsprobl
ARK-ICD::F729::Alvorlig psykisk utviklingshemming, atferdsprobl ikke angitt
ARK-ICD::F730::Dyp psykisk utviklingshemming, ingen/minimale atferdsproblem
ARK-ICD::F731::Dyp psykisk utviklingshemming, betydelige atferdsproblemer
ARK-ICD::F738::Dyp psykisk utviklingshemming, annen angiv av atferdsproblem
ARK-ICD::F739::Dyp psykisk utviklingshemming, atferdsproblemer ikke angitt
ARK-ICD::F780::Annen psykisk utviklingshemming, ingen/minimale atferdsprobl
ARK-ICD::F781::Annen psykisk utviklingshemming, betydelige atferdsproblemer
ARK-ICD::F788::Annen psykisk utviklingshemming, annen angiv av atferdsprobl
ARK-ICD::F789::Annen psykisk utviklingshemming, atferdsproblem ikke angitt
ARK-ICD::F790::Uspesif psykisk utviklingshemming, ingen/minim atferdsprobl
ARK-ICD::F791::Uspesif psykisk utviklingshemming, betyd atferdsproblemer
ARK-ICD::F798::Uspesif psykisk utviklingshemming, annen angiv atferdsprobl
ARK-ICD::F799::Uspesif psykisk utviklingshemming, atferdsprobl ikke angitt
ARK-ICD::3000::Ikke påvist psykisk utviklingshemming
ARK-ICD::3999::Mangelfull informasjon for å kode på akse 3
